id,show,tooltip
CRA1,TRUE,"Line 1126 (Nick to Rachel):  ""Wow! I think I’ve just fallen in love with you all over again."""
CRA2,FALSE,"Line 1991 (Nick to Colin, about Rachel): ""I'm not walking out on anything. I met a girl, I fell in love and I want to marry her. And it can't just be one thing or the other."""
CRA3,FALSE,"Line 3113 (Rachel to Eleanor, about Nick): ""I just love Nick so much. I don't want him to lose his mom again. So I just wanted you to know that one day, when he marries another lucky girl, who is enough for you, and you're playing with your grandkids while the tan huas are blooming, and the birds are chirping, that it was because of me... a poor, raised by a single mother, low class, immigrant nobody."""
CRA4,TRUE,"Line 3247 (Nick to Rachel): ""I love you."""
CRA5,TRUE,"Line 3249 (Rachel to Nick): ""I love you, too. This is gonna be some flight back to New York."""
SATC1,FALSE,"Line 197 (Carrie to Miranda): ""And I love you for it -- but for now can't you stop worrying for me and just go ahead and feel what I want you to feel. Jealous."""
SATC2,TRUE,"Line 853 (Big to Carrie): ""Loving you. Is easy... `cause you're beautiful…"""
SATC3,TRUE,"Line 1432 (Steve to Miranda): ""Miranda, please... It was just that one time. Please -- I love you --"""
SATC4,FALSE,"Line 2801 (Louise to Carrie, about Will): "" And it threw me so hard `cause, you know, I thought Will -- that's his name... was the love of my life."""
SATC5,TRUE,"Line 3733 (Samantha to Smith): ""Yes, I love you - ah, fuck it -- I'm just gonna say the thing you're not supposed to say -- I love you but I love me more. And I've been in a relationship with myself for forty-nine years and that's the one I need to work on."""
SATC6,TRUE,"Line 4061 (Big to Carrie): ""Carrie Bradshaw -- love of my life - - will you marry me?"""
WHMS1,FALSE,"Line 12 (Amanda to Harry): ""I love you."""
WHMS2,FALSE,"Line 14 (Harry to Amanda): ""I love you."""
WHMS3,FALSE,"Line 39 (Amanda to Harry): ""I love you."""
WHMS4,FALSE,"Line 41 (Harry to Amanda): ""I love you, too."""
WHMS5,FALSE,"Line 523 (Joe to Sally): ""I love you."""
WHMS6,FALSE,"Line 530 (Sally to Joe): ""I love you."""
WHMS7,TRUE,"Line 2869 (Harry to Sally): ""I've been doing a lot of thinking. And the thing is, I love you."""
WHMS8,TRUE,"Line 2873 (Harry to Sally): ""I love you."""
WHMS9,TRUE,"Line 2892 (Harry to Sally): ""How about this way. I love how you get cold when it's 62 degrees out. I love the way your mouth turns down just a little bit, right there. I love how it takes you an hour and a half to order a sandwich. I even loved when you used my sweater for a kleenex. I love it that after spending the day with you I can still smell your perfume on my clothes. I love you're the last person I want to talk to before I go to sleep at night. It took me eleven years to figure this out."""